Freq	Burst	Degree	Centrality	Sigma	PageRank	Keyword	Author	Year	Title	Source	Vol	Page	Half-life	DOI	ClusterID
20		24	0.00	1.00	0.00	economy									
20		13	0.00	1.00	0.00	investor sentiment									
19		16	0.00	1.00	0.00	sector									
19		13	0.00	1.00	0.00	portfolio									
19		21	0.00	1.00	0.00	derivative									
19		8	0.00	1.00	0.00	china									
19		21	0.00	1.00	0.00	index									
19	3.05	26	0.00	1.00	0.00	g28									
18	3.37	9	0.00	1.00	0.00	fail									
18		15	0.00	1.00	0.00	cross section									
18		18	0.00	1.00	0.00	correlation									
18		13	0.00	1.00	0.00	banking system									
18		20	0.00	1.00	0.00	bailout									
17		9	0.00	1.00	0.00	ownership									
17		5	0.00	1.00	0.00	shadow banking									
17		10	0.00	1.00	0.00	time									
17		12	0.00	1.00	0.00	quantile regression									
17		22	0.00	1.00	0.00	euro area									
17		19	0.00	1.00	0.00	expected shortfall									
17		6	0.00	1.00	0.00	agent-based model									
17	3.03	19	0.00	1.00	0.00	risk spillover									
17		25	0.00	1.00	0.00	trade									
17		18	0.00	1.00	0.00	securitization									
16		12	0.00	1.00	0.00	oil									
16	3.63	22	0.00	1.00	0.00	inference									
16		24	0.00	1.00	0.00	contagion risk									
16	3.82	29	0.00	1.00	0.00	market discipline									
16		11	0.00	1.00	0.00	selection									
16		18	0.00	1.00	0.00	bubble									
16		8	0.00	1.00	0.00	sovereign debt									
15		17	0.00	1.00	0.00	value-at-risk									
15		24	0.00	1.00	0.00	cycle									
15	3.28	13	0.00	1.00	0.00	banking regulation									
15		20	0.00	1.00	0.00	granger causality									
15		5	0.00	1.00	0.00	network analysis									
15		14	0.00	1.00	0.00	long memory									
14		25	0.00	1.00	0.00	economics									
14	4.12	18	0.00	1.00	0.00	announcement									
14		12	0.00	1.00	0.00	sovereign									
14		13	0.00	1.00	0.00	simulation									
14		27	0.00	1.00	0.00	financial distress									
14		18	0.00	1.00	0.00	power									
14		10	0.00	1.00	0.00	network topology									
13		17	0.00	1.00	0.00	complex system									
13		13	0.00	1.00	0.00	decomposition									
13		11	0.00	1.00	0.00	cascade									
13		15	0.00	1.00	0.00	capital structure									
13		19	0.00	1.00	0.00	diffusion									
13		14	0.00	1.00	0.00	garch									
13		15	0.00	1.00	0.00	stress test									
13		23	0.00	1.00	0.00	variance									
13		26	0.00	1.00	0.00	systematic risk									
13		19	0.00	1.00	0.00	term structure									
13		13	0.00	1.00	0.00	causality									
13		8	0.00	1.00	0.00	stress testing									
13		20	0.00	1.00	0.00	risk contagion									
13	3.05	8	0.00	1.00	0.00	size									
12		13	0.00	1.00	0.00	identification									
12		21	0.00	1.00	0.00	autoregressive conditional heteroskedasticity									
12	3.03	9	0.00	1.00	0.00	international transmission									
12		8	0.00	1.00	0.00	hedge fund									
12		15	0.00	1.00	0.00	currency crise									
12	3.28	26	0.00	1.00	0.00	extreme value theory									
12		6	0.00	1.00	0.00	economic growth									
12		16	0.00	1.00	0.00	insurer									
12		22	0.00	1.00	0.00	incentive									
12	3.97	11	0.00	1.00	0.00	strategy									
12		19	0.00	1.00	0.00	financial fragility									
12		10	0.00	1.00	0.00	future									
12		15	0.00	1.00	0.00	empirical evidence									
11		7	0.00	1.00	0.00	contagion effect									
11		24	0.00	1.00	0.00	asset price									
11		16	0.00	1.00	0.00	marginal expected shortfall									
11		22	0.00	1.00	0.00	crude oil									
11		9	0.00	1.00	0.00	capital regulation									
11		21	0.00	1.00	0.00	co movement									
10		14	0.00	1.00	0.00	predictability									
10		20	0.00	1.00	0.00	consolidation									
10	3.54	23	0.00	1.00	0.00	bank failure									
10		19	0.00	1.00	0.00	discipline									
10		12	0.00	1.00	0.00	globalization									
10		15	0.00	1.00	0.00	collateral									
10		10	0.00	1.00	0.00	banking crisis									
10		24	0.00	1.00	0.00	merger									
10		21	0.00	1.00	0.00	bond market									
10		18	0.00	1.00	0.00	tail									
9		15	0.00	1.00	0.00	wavelet									
9		10	0.00	1.00	0.00	asset allocation									
