Freq	Burst	Degree	Centrality	Sigma	PageRank	Keyword	Author	Year	Title	Source	Vol	Page	Half-life	DOI	ClusterID
3		0	0.00	1.00	0.00		CODY YULING HSIAO	2018	<html><b>...</b></html>	SO	0	0	1		
3		3	0.00	1.00	0.00		WASIM AHMAD	2018	<html><b>...</b></html>	SO	0	0	0		
3		0	0.00	1.00	0.00		MARK PADDRIK	2018	<html><b>...</b></html>	SO	0	0	0		
3		1	0.00	1.00	0.00		PANAGIOTIS DONTISCHARITOS	2016	<html><b>...</b></html>	SO	0	0	0		
3		0	0.00	1.00	0.00		ANDREAS A JOBST	2010	<html><b>...</b></html>	SO	0	0	4		
3		2	0.00	1.00	0.00		AVIRAL KUMAR TIWARI	2019	<html><b>...</b></html>	SO	0	0	0		
3		0	0.00	1.00	0.00		O	2018	<html><b>...</b></html>	SO	0	0	1		
3		3	0.00	1.00	0.00		MARCO D'ERRICO	2016	<html><b>...</b></html>	SO	0	0	0		
3		3	0.00	1.00	0.00		STEFANO GURCIULLO	2016	<html><b>...</b></html>	SO	0	0	0		
3		0	0.00	1.00	0.00		FRANCIS IN	2016	<html><b>...</b></html>	SO	0	0	1		
3		1	0.00	1.00	0.00		MARTA GOMEZPUIG	2014	<html><b>...</b></html>	SO	0	0	1		
3		1	0.00	1.00	0.00		JUAN IGNACIO PENA	2014	<html><b>...</b></html>	SO	0	0	1		
3		0	0.00	1.00	0.00		SHIGEYUKI HAMORI	2018	<html><b>...</b></html>	SO	0	0	0		
3		1	0.00	1.00	0.00		TERUYOSHI KOBAYASHI	2014	<html><b>...</b></html>	SO	0	0	0		
3		0	0.00	1.00	0.00		JOHN NKWOMA INEKWE	2018	<html><b>...</b></html>	SO	0	0	0		
3		1	0.00	1.00	0.00		ASLI DEMIRGUCKUNT	2014	<html><b>...</b></html>	SO	0	0	0		
3		2	0.00	1.00	0.00		NADER NAIFAR	2016	<html><b>...</b></html>	SO	0	0	0		
