...1,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
　　归属于母公司所有者权益合计,234.73,339.3,590.95000000000005,874.99,1800.82,2266.31,5073.25,8583.57,9686.41,11251.09,11508.89,15658.32,25598.46
　　少数股东权益,NA,NA,NA,NA,NA,NA,NA,28.26,54.88,78.83,110.54,218.82,672.85
　　所有者权益合计,234.73,339.3,590.95000000000005,874.99,1800.82,2266.31,5073.25,8611.84,9741.2900000000009,11329.92,11619.43,15877.14,26271.31
负债及股东权益总计,10160.56,12297.78,16672.53,21927.26,28461.5,35566.03,54381.74,93711.66,106469.6,123257.92,179883.28,250692.72,361659.91
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,保留意见,保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,NA,NA,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2007-12-21,2007-12-21,2007-12-21,2008-10-30,2008-10-30,2009-05-11,2010-04-19,2011-04-15,2012-04-26,2013-04-17,2014-04-22,2015-04-29,2016-03-24
数据来源,WIND调整计算值,WIND调整计算值,WIND调整计算值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
