1	5	2
1	6	1
1	7	1
1	18	1
1	20	2
1	21	1
1	25	1
1	40	2
1	42	1
1	45	2
1	66	2
1	75	5
1	83	4
1	84	12
1	85	5
1	87	1
1	100	5
1	105	4
1	116	1
1	117	1
1	123	2
1	130	1
1	135	2
1	137	4
1	140	3
1	141	4
1	143	1
1	155	1
2	75	1
2	84	1
3	39	1
3	100	1
3	152	1
4	5	2
4	75	1
4	141	1
5	6	1
5	18	1
5	19	1
5	20	4
5	21	3
5	26	1
5	28	2
5	29	2
5	31	1
5	35	2
5	40	1
5	43	4
5	44	3
5	45	1
5	51	2
5	54	2
5	60	1
5	61	1
5	62	1
5	65	1
5	67	1
5	75	9
5	82	1
5	83	6
5	84	10
5	85	1
5	87	2
5	91	3
5	94	4
5	95	1
5	96	2
5	97	1
5	99	2
5	100	13
5	102	7
5	103	1
5	104	2
5	105	3
5	106	2
5	108	7
5	109	1
5	112	1
5	121	6
5	122	2
5	126	1
5	129	2
5	130	1
5	132	5
5	133	1
5	134	4
5	135	7
5	136	3
5	137	4
5	138	1
5	140	2
5	141	2
5	143	1
5	145	2
5	146	1
5	148	1
5	149	6
5	150	2
5	152	3
5	154	1
5	155	2
5	156	5
5	158	3
5	160	1
6	44	2
6	75	1
6	83	1
6	84	2
6	100	2
6	121	1
6	126	1
6	141	2
6	143	2
6	149	1
7	21	1
7	67	1
7	75	1
7	87	1
7	95	1
7	100	1
7	105	1
7	108	2
7	121	1
7	122	1
7	137	1
7	141	1
7	149	1
8	141	1
10	21	1
11	14	1
11	121	1
11	149	1
12	84	1
14	106	1
15	43	1
16	75	1
16	92	1
16	103	1
17	84	1
18	20	6
18	21	1
18	25	1
18	35	1
18	40	1
18	45	2
18	70	1
18	75	2
18	84	6
18	87	1
18	95	1
18	100	3
18	105	2
18	116	1
18	121	1
18	133	1
18	135	3
18	140	1
18	143	2
19	121	2
19	133	2
20	21	1
20	25	1
20	32	1
20	35	2
20	59	1
20	75	9
20	77	1
20	83	1
20	84	7
20	87	2
20	95	1
20	100	4
20	105	1
20	120	1
20	121	1
20	141	3
20	143	4
20	148	2
20	155	2
21	22	1
21	35	1
21	36	1
21	38	1
21	41	1
21	43	1
21	45	2
21	59	1
21	61	1
21	62	1
21	66	1
21	67	1
21	70	1
21	75	4
21	79	1
21	83	4
21	84	5
21	85	3
21	87	1
21	91	1
21	95	1
21	100	7
21	108	5
21	112	1
21	121	2
21	122	1
21	129	1
21	132	1
21	135	2
21	137	1
21	141	1
21	143	2
21	152	1
21	158	1
22	75	1
22	84	1
22	100	3
22	121	1
22	141	1
22	158	1
24	63	1
24	73	1
25	141	1
26	73	1
28	100	1
28	105	1
29	59	2
29	75	4
29	84	4
29	100	3
29	121	3
29	132	1
29	135	3
29	137	1
29	141	1
29	152	1
29	155	1
30	59	1
31	75	1
31	141	1
32	75	1
32	100	1
32	105	1
32	108	1
32	121	1
32	122	1
32	141	1
33	45	2
33	100	1
33	105	1
33	136	1
33	141	1
33	155	1
35	43	1
35	83	2
35	84	5
35	87	1
35	100	4
35	102	1
35	103	1
35	105	1
35	108	2
35	111	1
35	116	1
35	119	1
35	135	5
35	148	1
36	96	1
36	100	1
36	105	1
36	108	1
36	143	1
37	135	1
38	83	1
38	84	1
38	100	1
38	143	1
39	45	1
39	75	2
39	84	3
39	87	1
39	100	1
39	121	1
39	123	1
39	129	2
39	133	1
39	136	1
39	137	2
39	140	2
39	141	2
39	145	1
40	45	1
40	75	1
40	135	1
40	137	1
40	140	1
40	141	2
41	49	1
42	87	1
42	100	1
43	75	2
43	83	2
43	84	1
43	87	1
43	100	1
43	102	1
43	105	2
43	141	2
43	145	1
43	150	1
44	75	4
44	84	1
44	91	1
44	95	1
44	105	1
44	121	1
44	132	1
44	133	2
44	138	1
44	143	1
44	155	1
44	156	1
44	158	1
45	74	1
45	95	1
45	100	1
45	105	1
45	116	1
45	117	1
45	121	1
45	126	1
45	135	1
45	137	1
45	141	2
45	152	2
45	155	4
47	100	1
47	141	1
48	87	1
48	94	1
49	75	1
49	100	2
49	135	2
50	83	1
51	75	1
51	83	1
51	148	1
53	75	1
53	105	1
54	87	1
55	68	1
55	81	1
55	83	2
55	100	2
55	113	1
55	143	2
57	83	1
57	100	1
57	102	1
57	143	1
58	95	1
58	102	1
58	108	1
58	149	1
59	75	1
59	85	1
59	103	1
59	112	1
