id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
4643	"myers, sc"	-0.0197	0.6988	4	95	163	4
4652	"nagurney, a"	0.5501	-0.1209	3	110	170	6
4673	"nautz, d"	0.7312	0.7592	3	51	195	3
4684	"nelsen, rg"	-0.9168	-0.068	1	122	175	5
4685	"nelson, db"	-0.9076	-0.2276	1	139	349	12
4692	"newey, wk"	-0.7801	0.0315	1	108	171	6
4694	"newman, m"	0.9575	-0.1162	3	207	487	13
4696	"newman, mej"	0.6561	-0.2668	2	452	2040	56
4697	"neyer, u"	0.654	0.5098	3	76	192	4
4711	"nier, e"	0.6827	-0.019	3	711	5124	136
4713	"nijskens, r"	-0.407	-0.1731	1	126	175	6
4727	"norden, l"	-0.74	-0.1971	1	130	188	7
4729	"northern, rock"	-0.0066	1.0653	6	44	270	5
4750	"obstfeld, m"	-0.6999	0.2428	1	113	169	5
4755	oecd	-0.5155	-0.0306	1	98	138	7
4759	"oet, mv"	-0.5112	-1.0098	9	86	187	4
4761	office of financial research	0.7247	0.6393	6	104	221	5
4770	"ohara, m"	-0.108	-0.0096	1	119	149	4
4793	"ongena, s"	-0.6224	0.2092	1	189	349	7
4795	"onnela, jp"	0.4446	-0.6803	2	196	710	22
4838	"page, l"	0.8041	-0.0247	3	110	182	4
4841	"pais, a"	-0.6686	0.0692	1	112	152	4
4846	"paltalidis, n"	0.305	-0.5358	2	192	322	11
4848	"pan, j"	-0.9113	-0.3434	1	104	186	7
4861	"papadimitriou, t"	0.126	0.1618	4	125	182	5
4868	"park, j"	0.1454	-0.5211	2	96	162	6
4881	"pasquariello, p"	-1.0148	-0.023	1	87	125	3
4883	"pastor, l"	-0.6191	-0.0837	1	115	160	4
4884	"pastor-satorras, r"	0.9138	0.3961	2	200	477	14
4885	"patro, dk"	-0.6455	0.1169	1	100	153	5
4888	"patton, aj"	-0.8113	-0.2618	1	130	250	8
4902	"peek, j"	-0.6846	0.2755	1	125	289	9
4903	"pegoraro, s"	1.0139	0.0204	5	140	220	3
4906	"pelizzon, l"	-0.8136	-0.3401	1	81	112	4
4909	"peltonen, ta"	0.422	-0.6087	2	260	614	13
4921	"pericoli, m"	-0.8521	-0.3235	1	92	128	5
4923	"perotti, e"	-0.4748	0.3095	8	70	168	4
4934	"pesaran, hh"	-0.8692	-0.3229	1	162	319	11
4936	"pesaran, mh"	-0.9582	-0.3574	1	108	191	7
4938	"petersen, ma"	-0.404	0.1134	1	130	260	11
4950	"philippon, t"	-0.0361	0.7144	4	80	230	6
4953	"phillips, pcb"	-0.5894	-0.4555	1	93	134	4
4954	"phylaktis, k"	-1.037	-0.1374	1	63	106	4
4957	"pickands, j"	-0.4874	0.118	8	86	156	4
4986	"podobnik, b"	0.7073	-0.4645	2	94	152	7
4992	"poledna, s"	0.8895	-0.4116	2	382	1828	43
4999	"poole, w"	0.7616	0.628	3	98	168	3
5000	"poon, sh"	-0.6535	-0.0254	8	171	315	10
