id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
8673	"martinez-jaramillo s, 2014, j econ dyn control, v40, p242, doi 10.1016/j.jedc.2014.01.009"	-0.5716	-0.159	1	240	643	23
8699	"mastrandrea r, 2014, new j phys, v16, doi 10.1088/1367-2630/16/4/043022"	-0.9347	-0.187	1	121	206	6
8701	"mastromatteo i, 2012, j stat mech-theory e, doi 10.1088/1742-5468/2012/03/p03011"	-1.1368	-0.2582	1	107	167	7
8722	"may rm, 2008, nature, v451, p893, doi 10.1038/451893a"	-0.4433	0.0449	1	247	571	23
8723	"may rm, 2010, j r soc interface, v7, p823, doi 10.1098/rsif.2009.0359"	-0.5531	0.0296	1	277	888	39
8773	"mcneil a., 2005, quantitative risk ma"	1.1204	0.085	2	64	70	5
8801	"memmel c, 2013, j financ stabil, v9, p46, doi 10.1016/j.jfs.2013.01.001"	-1.0354	0.0584	1	92	139	6
8849	"merton rc, 1973, bell j econ, v4, p141, doi 10.2307/3003143"	0.1382	0.612	7	69	85	5
8851	"merton rc, 1974, j financ, v29, p449, doi 10.2307/2978814"	0.2171	0.0666	2	295	825	47
8857	"merton rc, 2013, financ anal j, v69, p22, doi 10.2469/faj.v69.n2.5"	1.0755	-0.2899	2	84	130	7
8918	"minoiu c, 2013, j financ stabil, v9, doi 10.1016/j.jfs.2013.03.001"	-0.1443	-0.1829	1	227	472	22
8919	"minoiu c, 2015, quant financ, v15, p607, doi 10.1080/14697688.2014.968358"	0.0516	-0.4545	8	95	141	5
8939	"minsky hyman p., 1986, stabilizing unstable"	-0.4019	0.7893	3	53	71	5
8974	"mistrulli pe, 2011, j bank financ, v35, p1114, doi 10.1016/j.jbankfin.2010.09.018"	-0.2208	-0.0126	1	343	1227	47
9029	"montagna m, 2017, quant financ, v17, p101, doi 10.1080/14697688.2016.1178855"	-1.0691	-0.2484	1	116	192	5
9069	"morgan dp, 2002, am econ rev, v92, p874, doi 10.1257/00028280260344506"	0.5577	0.4295	3	70	80	7
9079	"morris s, 2000, rev econ stud, v67, p57, doi 10.1111/1467-937x.00121"	-0.4719	0.4268	1	116	189	6
9122	"moussa a., 2011, thesis"	-1.1346	-0.4301	1	64	87	5
9135	"muller j., 2006, j financial services, v29, p37, doi 10.1007/s10693-005-5107-2"	-0.1518	0.1447	1	228	504	20
9163	"musmeci n, 2013, j stat phys, v151, p720, doi 10.1007/s10955-013-0720-1"	-1.0222	-0.2277	1	137	277	9
9223	"nelsen r.g., 2006, intro copulas"	1.19	0.0419	2	65	76	5
9226	"nelson db, 1991, econometrica, v59, p347, doi 10.2307/2938260"	1.4832	-0.1346	2	60	70	7
9246	"newman m., 2010, networks intro"	-0.7722	-0.0588	1	81	127	6
9252	"newman mej, 2001, phys rev e, v64, doi 10.1103/physreve.64.026118"	-0.7815	0.2773	1	106	149	5
9254	"newman mej, 2002, phys rev lett, v89, doi 10.1103/physrevlett.89.208701"	-0.9673	-0.382	5	72	92	5
9256	"newman mej, 2003, phys rev e, v67, doi 10.1103/physreve.67.026126"	-1.0383	-0.4901	5	59	76	5
9258	"newman mej, 2003, siam rev, v45, p167, doi 10.1137/s003614450342480"	-0.5454	-0.2342	1	138	213	9
9260	"newman mej, 2004, phys rev e, v69, doi 10.1103/physreve.69.066133"	-0.4567	-0.0595	1	167	331	13
9284	"nier e, 2007, j econ dyn control, v31, p2033, doi 10.1016/j.jedc.2007.01.014"	-0.3734	-0.0122	1	422	2979	126
9292	"nijskens r, 2011, j bank financ, v35, p1391, doi 10.1016/j.jbankfin.2010.10.001"	0.9169	0.1106	2	64	73	6
9417	"onnela jp, 2003, phys rev e, v68, doi 10.1103/physreve.68.056110"	-0.7058	-0.6998	1	63	96	5
9482	"paltalidis n, 2015, j bank financ, v61, ps36, doi 10.1016/j.jbankfin.2015.03.021"	-0.2794	-0.6142	1	98	126	7
9487	"pan j, 2008, j financ, v63, p2345, doi 10.1111/j.1540-6261.2008.01399.x"	1.331	-0.1542	2	72	105	7
9501	"papadimitriou t, 2013, physica a, v392, p4429, doi 10.1016/j.physa.2013.05.013"	-0.8269	0.0528	5	82	92	5
9531	"pastor-satorras r, 2001, phys rev lett, v86, p3200, doi 10.1103/physrevlett.86.3200"	-0.8304	0.2546	1	76	135	7
9533	"pastor-satorras r, 2015, rev mod phys, v87, p925, doi 10.1103/revmodphys.87.925"	-1.0777	-0.1729	1	90	122	6
9579	"peltonen ta, 2014, j financ stabil, v13, p118, doi 10.1016/j.jfs.2014.05.004"	-0.4652	-0.3801	1	126	180	6
9597	"pericoli m, 2003, j econ surv, v17, p571, doi 10.1111/1467-6419.00205"	1.1115	-0.1284	2	65	78	5
9614	"pesaran hh, 1998, econ lett, v58, p17, doi 10.1016/s0165-1765(97)00214-0"	1.3869	-0.294	2	86	154	11
9700	"poledna s, 2015, j financ stabil, v20, p70, doi 10.1016/j.jfs.2015.08.001"	-0.6638	-0.1564	1	244	631	25
9701	"poledna s, 2016, quant financ, v16, p1599, doi 10.1080/14697688.2016.1156146"	-0.9373	-0.0697	1	112	166	6
9719	"poon sh, 2004, rev financ stud, v17, p581, doi 10.1093/rfs/hhg058"	0.9141	0.1207	2	64	84	7
9804	"pukthuanthong k, 2009, j financ econ, v94, p214, doi 10.1016/j.jfineco.2008.12.004"	1.7499	-0.094	2	36	45	5
9806	"puliga m, 2014, sci rep-uk, v4, doi 10.1038/srep06822"	-0.7736	-0.3436	1	144	218	7
9900	"reboredo jc, 2015, j int money financ, v51, p214, doi 10.1016/j.jimonfin.2014.12.002"	1.6099	-0.3737	2	47	60	7
9920	"reinhart cm, 2009, this time is different: eight centuries of financial folly, p1"	0.5145	0.2576	3	170	279	15
9995	"rochet jc, 1996, j money credit bank, v28, p733, doi 10.2307/2077918"	-0.1331	0.311	3	298	880	41
9998	"rochet jc, 2004, j eur econ assoc, v2, p1116, doi 10.1162/1542476042813850"	0.116	0.7503	3	103	169	10
10010	"rodriguez jc, 2007, j empir financ, v14, p401, doi 10.1016/j.jempfin.2006.07.002"	1.4505	-0.0719	2	79	94	6
10011	"rodriguez-moreno m, 2013, j bank financ, v37, p1817, doi 10.1016/j.jbankfin.2012.07.010"	1.0952	-0.3224	2	59	72	6
10027	"rogers lcg, 2013, manage sci, v59, p882, doi 10.1287/mnsc.1120.1569"	-0.2872	-0.2396	1	255	887	42
10072	"roukny t, 2013, sci rep-uk, v3, doi 10.1038/srep02759"	-0.6278	-0.1066	1	243	684	26
10118	"sachs a, 2014, quant financ, v14, p1677, doi 10.1080/14697688.2012.749421"	-0.7691	0.1022	1	133	226	9
10342	"schweitzer f, 2009, science, v325, p422, doi 10.1126/science.1173644"	-0.657	-0.0458	1	192	464	21
10374	"segoviano m., 2009, 0904 imf"	0.1656	0.0589	8	116	133	5
10444	"shapley l.s., 1953, ann math stud, vii, p307, doi 10.1515/9781400881970-018"	0.0383	-0.2098	9	88	158	6
10460	"sheldon george, 1998, swiss j ec stat, v134, p685"	-0.2982	0.223	1	226	566	23
10487	"shin h, 2010, risk and liquidity"	-0.2815	-0.3418	1	117	186	5
10499	"shin hs, 2008, j financ intermed, v17, p315, doi 10.1016/j.jfi.2008.02.003"	0.0203	0.2444	1	178	384	18
10503	"shin hs, 2009, j econ perspect, v23, p101, doi 10.1257/jep.23.1.101"	-0.2535	0.4855	7	88	113	6
10512	"shleifer a, 1992, j financ, v47, p1343, doi 10.2307/2328943"	0.0225	0.2629	3	188	357	17
10513	"shleifer a, 1997, j financ, v52, p35, doi 10.2307/2329555"	-0.1814	0.6122	3	77	109	5
10514	"shleifer a, 2010, j financ econ, v97, p306, doi 10.1016/j.jfineco.2009.10.007"	0.2606	0.3326	3	143	183	6
10515	"shleifer a, 2011, j econ perspect, v25, p29, doi 10.1257/jep.25.1.29"	-0.2467	0.0535	1	246	458	16
10556	"silva tc, 2016, emerg mark rev, v26, p130, doi 10.1016/j.ememar.2015.12.004"	-0.6044	-0.2627	5	145	254	11
10557	"silva tc, 2016, j financ stabil, v25, p247, doi 10.1016/j.jfs.2016.04.004"	-1.1314	-0.2921	5	73	109	5
10559	"silva tc, 2016, machine learning com"	-0.9664	-0.3282	5	77	129	6
10561	"silva tc, 2017, j econ dyn control, v76, p109, doi 10.1016/j.jedc.2017.01.001"	-0.4687	-0.3109	5	96	124	6
10584	"sims ca, 1980, econometrica, v48, p1, doi 10.2307/1912017"	0.7587	-0.2973	2	88	109	6
10621	"slovin mb, 1999, j financ econ, v54, p197, doi 10.1016/s0304-405x(99)00036-7"	1.0066	0.3394	2	89	117	7
10677	"soramaki k, 2007, physica a, v379, p317, doi 10.1016/j.physa.2006.11.093"	-0.5307	-0.0266	1	330	1465	61
10678	"soramaki k, 2013, economics-kiel, v7, doi 10.5018/economics-ejournal.ja.2013-28"	-0.5686	-0.1978	1	136	251	8
10709	"souza srs, 2015, physica a, v431, p140, doi 10.1016/j.physa.2015.03.005"	-0.8459	-0.4813	5	82	131	6
10731	"squartini t, 2011, new j phys, v13, doi 10.1088/1367-2630/13/8/083001"	-1.1805	-0.2123	1	90	159	6
10734	"squartini t, 2013, sci rep-uk, v3, doi 10.1038/srep03357"	-1.0147	-0.1175	1	125	211	8
10766	"staum j, 2013, handbook on systemic risk, p512"	-0.1934	-0.2508	4	123	229	9
10803	"stiglitz je, 2010, am econ rev, v100, p388, doi 10.1257/aer.100.2.388"	-0.7065	0.0914	1	161	319	11
10866	"stulz rm, 2010, j econ perspect, v24, p73, doi 10.1257/jep.24.1.73"	0.9163	0.2277	2	106	151	11
10900	"summer m, 2013, annu rev financ econ, v5, p277, doi 10.1146/annurev-financial-110112-120948"	-0.5921	-0.0599	1	169	334	9
10921	"suzuki t, 2002, j oper res soc jpn, v45, p123, doi 10.15807/jorsj.45.123"	-0.3476	-0.4772	4	83	120	5
10949	"tabak bm, 2014, physica a, v394, p211, doi 10.1016/j.physa.2013.09.010"	-0.2321	-0.4579	5	109	154	8
