54	115	2
54	173	2
54	213	1
54	237	1
54	286	2
54	334	1
54	438	1
54	459	1
54	493	1
54	521	5
54	523	1
54	537	2
54	542	1
54	669	2
54	705	1
54	706	1
54	711	1
54	877	1
54	1053	1
54	1084	1
54	1218	3
54	1260	1
54	1296	1
54	1336	1
54	1386	1
54	1447	2
54	1448	1
54	1449	4
54	1460	1
54	1588	1
54	1598	1
54	1677	1
54	1712	1
54	1758	1
54	1888	1
54	1949	4
54	2008	4
54	2119	1
54	2208	1
54	2209	1
54	2275	2
54	2326	5
54	2482	1
54	2526	1
54	2590	1
54	2592	2
54	2593	3
54	2606	1
54	2685	1
54	2704	1
54	2725	1
54	2726	2
54	2773	1
54	2782	1
54	2799	1
54	2850	1
54	2895	1
54	2898	1
54	3314	1
54	3401	2
54	3450	1
54	3475	1
54	3589	3
54	3726	2
54	3881	1
54	3974	1
54	3977	2
54	4006	1
54	4017	3
54	4052	1
54	4117	1
54	4242	1
54	4243	1
54	4247	1
54	4285	1
54	4287	1
54	4411	1
54	4417	1
54	4485	1
54	4683	3
54	4710	2
54	4729	3
54	4736	1
54	4743	1
54	4828	1
54	4959	1
54	5087	1
54	5181	2
54	5302	1
54	5332	1
54	5378	1
54	5382	3
54	5410	2
54	5484	2
54	5488	3
54	5530	4
54	5533	3
54	5594	1
54	5683	2
54	5732	3
54	5854	2
54	5855	1
54	6011	1
54	6014	1
54	6087	1
54	6134	1
54	6166	1
54	6292	1
54	6324	3
54	6329	2
54	6531	1
54	6681	1
54	6707	1
54	6836	1
54	6910	1
54	7004	1
54	7094	1
54	7097	3
54	7098	1
54	7143	1
54	7144	1
54	7172	1
54	7438	1
54	7457	1
54	7524	1
54	7700	1
54	7722	1
54	7767	1
54	7867	1
54	7947	2
54	7954	1
54	7966	1
54	7973	1
54	7986	1
54	8038	1
54	8039	2
54	8147	1
54	8166	1
54	8167	1
54	8385	1
54	8605	1
54	8673	1
54	8723	1
54	8773	1
54	8918	1
54	8919	1
54	8974	2
54	9223	1
54	9258	1
54	9284	3
54	9579	1
54	9700	1
54	10010	1
54	10011	1
54	10027	1
54	10072	1
54	10460	2
54	10487	2
54	10514	1
54	10677	2
54	10678	3
54	10709	1
54	10734	1
54	10900	1
54	10949	1
54	11132	1
54	11234	4
54	11240	3
54	11307	1
54	11361	1
54	11491	3
54	11502	1
54	11517	1
54	11539	2
54	11575	1
54	11734	1
54	11820	1
82	140	1
82	142	1
82	286	3
82	521	1
82	606	1
82	910	1
82	1053	2
82	1642	1
82	1653	1
82	1783	5
82	2008	1
82	2101	1
82	2519	1
82	2890	2
82	3295	1
82	3376	1
82	3679	1
82	4287	1
82	4411	1
82	4775	1
82	5302	2
82	5834	4
82	5882	1
82	6170	1
82	6437	2
82	6531	1
82	6532	1
82	7436	1
82	7664	1
82	7928	1
82	8147	1
82	8362	1
82	8378	2
82	8380	1
82	9223	1
82	9226	1
82	9719	1
82	9804	2
82	9900	3
82	10010	1
82	11456	2
82	11791	1
109	115	4
109	140	1
109	142	1
109	145	1
109	206	1
109	213	1
109	219	1
109	237	1
109	286	1
109	334	1
109	426	1
109	459	1
109	460	1
109	518	1
109	521	7
109	537	3
109	542	4
109	616	1
109	618	1
109	670	1
109	767	1
109	1053	1
109	1218	2
109	1296	1
109	1447	3
109	1448	2
109	1449	3
109	1497	1
109	1553	1
109	1588	2
109	1627	1
109	1815	1
109	1949	8
109	2008	2
109	2060	1
109	2119	2
109	2193	1
109	2208	1
109	2209	2
109	2210	2
109	2215	1
109	2326	2
109	2383	1
109	2590	2
109	2592	1
109	2593	1
109	2640	1
109	2699	1
109	2704	1
109	2725	1
109	2726	1
109	2839	1
109	3242	1
109	3376	1
109	3401	4
109	3450	1
109	3475	1
109	3525	1
109	3679	1
109	3685	1
109	3726	1
109	3879	1
109	3881	2
109	3977	1
109	4006	1
109	4052	1
109	4117	1
109	4242	2
109	4253	1
109	4274	1
109	4285	1
109	4287	5
109	4471	1
109	4476	1
109	4479	1
109	4644	1
109	4683	6
109	4710	4
109	4729	1
109	4803	2
109	4992	2
109	5086	2
109	5207	1
109	5302	3
109	5382	6
109	5410	1
109	5488	1
109	5530	2
109	5533	5
109	5655	1
109	5656	1
109	5732	2
109	5792	1
109	5796	1
109	5854	2
109	6044	1
109	6134	2
109	6311	1
109	6329	4
109	6437	1
109	6531	1
109	6532	3
109	6750	2
109	6836	2
109	6852	1
109	6966	1
109	7094	3
109	7097	2
109	7119	1
109	7143	1
109	7150	1
109	7172	1
109	7341	1
109	7342	1
109	7396	1
109	7574	1
109	7698	2
109	7722	1
109	7771	1
109	7809	1
109	7878	1
109	7928	1
109	7966	2
109	7986	1
109	8018	1
109	8030	2
109	8060	1
109	8147	5
109	8166	1
109	8244	1
109	8374	1
