Date : 2022-06-11 16:13:09
Directory : /Users/ethan/LocalFiles/ResearchFile/SystemicRisk
Total : 101 files,  4873 codes, 1493 comments, 1732 blanks, all 8098 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/scripts/IO/transform_original_data.R                              | R                  |        147 |         16 |         30 |        193 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/scripts/analyse/analyse_balance_sheet.R                           | R                  |          0 |          0 |          1 |          1 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/scripts/exp_raw/batch_export_models.jl                            | Julia              |         18 |         10 |         16 |         44 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/scripts/exp_raw/batch_main.jl                                     | Julia              |         64 |         21 |         34 |        119 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/scripts/exp_raw/batch_main.py                                     | Python             |         73 |         21 |         45 |        139 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/scripts/include/include_exp_files.jl                              | Julia              |          3 |          5 |         10 |         18 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/scripts/include/include_exp_files.py                              | Python             |          0 |          0 |          1 |          1 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/scripts/tools/useful_functions.R                                  | R                  |         53 |          3 |         11 |         67 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/scripts/variables/set_environmentVariables.jl                     | Julia              |         60 |          9 |         31 |        100 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/scripts/variables/set_parameterVariables.jl                       | Julia              |         21 |         13 |         14 |         48 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/scripts/visualization/visualize_data.R                            | R                  |         15 |          4 |         11 |         30 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/controller/fun_agentModel.jl                             | Julia              |         13 |         19 |         13 |         45 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/controller/fun_builder.jl                                | Julia              |         70 |         12 |         30 |        112 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/controller/fun_collector.jl                              | Julia              |        111 |         99 |         31 |        241 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/controller/fun_io.jl                                     | Julia              |         27 |          9 |         12 |         48 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/controller/fun_makesim.jl                                | Julia              |         13 |         17 |         10 |         40 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/controller/fun_runner.jl                                 | Julia              |         58 |          4 |         19 |         81 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/controller/fun_schedulers.jl                             | Julia              |        261 |         21 |         49 |        331 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/controller/fun_tools.jl                                  | Julia              |         11 |          4 |          6 |         21 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/define/define_agentDataCollection.jl                     | Julia              |          6 |          3 |          8 |         17 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/define/define_agents.jl                                  | Julia              |        120 |          8 |         17 |        145 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/define/define_component.jl                               | Julia              |         24 |          9 |         11 |         44 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/define/define_consts.jl                                  | Julia              |         17 |          4 |          4 |         25 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/define/define_content.jl                                 | Julia              |         22 |          1 |          9 |         32 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/define/define_environmentVariables.jl                    | Julia              |         41 |          7 |          8 |         56 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/define/define_parameterVariables.jl                      | Julia              |          9 |          6 |          7 |         22 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/define/define_type.jl                                    | Julia              |         15 |         23 |         12 |         50 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/functions/fun_balanceSheet.jl                            | Julia              |        125 |         56 |         41 |        222 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/functions/fun_loss.jl                                    | Julia              |          3 |          6 |         23 |         32 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/functions/fun_measure.jl                                 | Julia              |          1 |          8 |         14 |         23 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/functions/fun_shock.jl                                   | Julia              |        232 |         14 |         49 |        295 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/functions/fun_state.jl                                   | Julia              |        453 |         20 |         47 |        520 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/functions/fun_transfer.jl                                | Julia              |        201 |          8 |         27 |        236 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/initialization/fun_initVariables.jl                      | Julia              |        278 |         25 |         37 |        340 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/model/fun_model_skeleton.jl                              | Julia              |         42 |          9 |         17 |         68 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/model/fun_process_skeleton.jl                            | Julia              |         61 |          8 |         28 |         97 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/template/fun_exporter.jl                                 | Julia              |         79 |         20 |         23 |        122 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/template/fun_model_skeleton_template.jl                  | Julia              |         42 |          9 |         16 |         67 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/core/template/fun_process_skeleton_template.jl                | Julia              |         62 |          9 |         29 |        100 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/include/Models.jl                                             | Julia              |         24 |         12 |         13 |         49 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/include/SystemicRiskSimulation.jl                             | Julia              |         38 |         18 |         20 |         76 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/model_sets/models_sets.jl                               | Julia              |          5 |          4 |          1 |         10 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/model_sets/processes_sets.jl                            | Julia              |          9 |          4 |          1 |         14 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/model_sets/stages_sets.jl                               | Julia              |         13 |          4 |          1 |         18 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/models/fun_model_BI1111.jl                              | Julia              |         29 |         25 |         28 |         82 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/models/model_content.jl                                 | Julia              |         12 |          5 |          9 |         26 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/processes/fun_process_exBank_bankrupt.jl                | Julia              |         23 |         11 |         16 |         50 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/processes/fun_process_exBank_illiquity.jl               | Julia              |         22 |         13 |         15 |         50 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/processes/fun_process_exBank_insolvent.jl               | Julia              |         25 |         19 |         22 |         66 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/processes/fun_process_interBank_bankrupt.jl             | Julia              |         23 |         21 |         17 |         61 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/processes/fun_process_interBank_illiquity.jl            | Julia              |         26 |         13 |         22 |         61 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/processes/fun_process_interBank_insolvent.jl            | Julia              |         25 |         20 |         19 |         64 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/processes/process_content.jl                            | Julia              |         47 |         18 |         14 |         79 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/stages/fun_stage_bankrupt_repay_shock.jl                | Julia              |          9 |          5 |          5 |         19 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/stages/fun_stage_exBank_bankrupt_contagion.jl           | Julia              |          7 |          7 |          6 |         20 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/stages/fun_stage_exBank_illiquity_shock.jl              | Julia              |          9 |          6 |          5 |         20 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/stages/fun_stage_exBank_insolvent_shock.jl              | Julia              |         22 |          7 |          7 |         36 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/stages/fun_stage_interBank_bankrupt_contagion_shock.jl  | Julia              |         15 |          6 |          5 |         26 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/stages/fun_stage_interBank_illiquity_allocate.jl        | Julia              |         23 |          6 |          6 |         35 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/stages/fun_stage_interBank_illiquity_contagion_shock.jl | Julia              |         16 |         16 |          6 |         38 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/src/model/stages/fun_stage_interBank_illiquity_repay.jl           | Julia              |         26 |          8 |          9 |         43 |
